CIAD;ICAO;NOME_AERO;LONG;LAT;UF;CIDADE;IBGE
NA;SN6L;Dr. Luciano de Arruda Coelho;-40,23360594;-3,613;CE;Sobral;2312908
NA;SNSM;Aeroporto de Salinópolis;-47,32805212;-0,693974442;PA;Salinópolis;1506203
AC0001;SBRB;Plácido de Castro;-67,89805556;-9,868333333;AC;Rio Branco;1200401
AC0002;SBCZ;CRUZEIRO DO SUL;-72,76944444;-7,599444444;AC;Cruzeiro do Sul;1200203
AC0003;SNOU;Novo Aeródromo de Feijó;-70,34083333;-8,141388889;AC;Feijó;1200302
AC0004;SBTK;TARAUACA;-70,78277778;-8,154722222;AC;Tarauacá;1200609
AC0006;SDNQ;Fazenda Água Limpa;-67,49111111;-9,980555556;AC;Rio Branco;1200401
AC0007;SIMB;Manuel Urbano;-69,26638889;-8,849166667;AC;Manoel Urbano;1200344
AC0008;SIRW;Porto Walter;-72,74527778;-8,271666667;AC;Porto Walter;1200393
AC0009;SJOD;Jordão;-71,94694444;-9,190277778;AC;Jordão;1200328
AC0010;SSMH;Marechal Thaumaturgo;-72,77972222;-8,959444444;AC;Marechal Thaumaturgo;1200351
AC0011;SSRA;Santa Rosa do Purus;-70,48277778;-9,446388889;AC;Santa Rosa do Purus;1200435
AC0012;SWNC;Fazenda Nictheroy;-67,6981;-10,2675;AC;Rio Branco;1200401
AC0013;SWHJ;Fazenda Santa Lúcia;-69,19888889;-10,74638889;AC;Brasiléia;1200104
AL0001;SBMO;Zumbi dos Palmares;-35,78361111;-9,517222222;AL;Maceió;2704302
AL0003;SNAL;Arapiraca;-36,63055556;-9,776388889;AL;Arapiraca;2700300
AL0004;SIQX;Fazenda São Braz;-35,54;-9,373055556;AL;Barra de Santo Antônio;2700508
AL0005;SJPO;Xingó;-37,7775;-9,588055556;AL;Piranhas;2707107
AL0006;SNCY;Campo da Praia;-36,28527778;-10,22277778;AL;Coruripe;2702306
AL0007;SNDX;Cachoeira;-36,32638889;-10,04;AL;Coruripe;2702306
AL0008;SNGS;Aeroclube de Alagoas;-35,75777778;-9,5875;AL;Maceió;2704302
AL0009;SNML;Manduca Leão;-35,82472222;-9,544166667;AL;Rio Largo;2707701
AL0010;SNOV;Povoado de Camaçari;-36,29166667;-10,12222222;AL;Coruripe;2702306
AL0011;SNUP;Usina Porto Rico;-36,2225;-9,802777778;AL;Campo Alegre;2701407
AL0012;SNUZ;Usina Coruripe;-36,18777778;-10,09333333;AL;Coruripe;2702306
AL0013;SNZZ;Muzzi;-36,1989;-9,9678;AL;Coruripe;2702306
AL0014;SDVC;Valda Costa;-35,16416667;-8,917777778;AL;Maragogi;2704500
AL0015;SIDD;Fazenda São Braz;-35,50833333;-9,379444444;AL;Barra de Santo Antônio;2700508
AL0016;SJEZ;República dos Palmares;-35,74055556;-9,659722222;AL;Maceió;2704302
AL0017;SJSG;Usina Serra Grande;-36,07027778;-8,978055556;AL;São José da Laje;2708303
AL0018;SNLX;Condomínio Laguna;-35,80083333;-9,703055556;AL;Marechal Deodoro;2704708
AL0019;SWQR;Reserva do Toque;-35,37111111;-9,255;AL;São Miguel dos Milagres;2708709
AL0020;SSEO;MS Maragogi;-35,225;-9,023055556;AL;Maragogi;2704500
AL0021;SIYP;Empresarial Delman;-35,71861111;-9,673888889;AL;Maceió;2704302
AL0022;SJPV;Reserva Pituba;-36,09;-10,08638889;AL;Coruripe;2702306
AM0001;SBEG;Eduardo Gomes;-60,05055556;-3,041111111;AM;Manaus;1302603
AM0002;SWFN;FLORES;-60,02111111;-3,072777778;AM;Manaus;1302603
AM0003;SBUA;São Gabriel da Cachoeira;-66,98583333;-0,148055556;AM;São Gabriel da Cachoeira;1303809
AM0004;SBTF;Tefé;-64,72527778;-3,380277778;AM;Tefé;1304203
AM0005;SBTT;Tabatinga;-69,93777778;-4,250555556;AM;Tabatinga;1304062
AM0006;SWPI;PARINTINS;-56,77111111;-2,669444444;AM;Parintins;1303403
AM0007;SWCA;Carauari;-66,8975;-4,871388889;AM;Carauari;1301001
AM0009;SWEI;Eirunepé;-69,88305556;-6,6375;AM;Eirunepé;1301407
AM0010;SWKO;COARI;-63,13111111;-4,133888889;AM;Coari;1301209
AM0011;SWNK;Novo Campo;-67,31222222;-8,833611111;AM;Boca do Acre;1300706
AM0012;SBIC;Itacoatiara;-58,48166667;-3,126388889;AM;Itacoatiara;1301902
AM0013;SWII;IPIRANGA;-69,69472222;-2,933611111;AM;Santo Antônio do Içá;1303700
AM0014;SWOB;FONTE BOA;-66,06722222;-2,533611111;AM;Fonte Boa;1301605
AM0015;SBMY;Manicoré;-61,28388889;-5,816944444;AM;Manicoré;1302702
AM0016;SDCG;Senadora Eunice Micheles;-68,9242;-3,4706;AM;São Paulo de Olivença;1303908
AM0017;SWBC;BARCELOS;-62,91944444;-0,981111111;AM;Barcelos;1300409
AM0018;SWBR;BORBA;-59,59777778;-4,408611111;AM;Borba;1300805
AM0019;SWHT;HUMAITÁ;-63,05055556;-7,533611111;AM;Humaitá;1301704
AM0020;SWMW;MAUÉS;-57,71222222;-3,356944444;AM;Maués;1302900
AM0022;SWTP;Santa Izabel do Rio Negro;-65,03388889;-0,416944444;AM;Santa Isabel do Rio Negro;1303601
AM0023;SWYN;APUÍ;-59,83888889;-7,172222222;AM;Apuí;1300144
AM0024;SWLB;LÁBREA;-64,78388889;-7,250277778;AM;Lábrea;1302405
AM0025;SBUY;Urucu;-65,35583333;-4,883055556;AM;Coari;1301209
AM0026;SDDE;Fazenda Dois Irmãos;-61,7675;-8,000833333;AM;Manicoré;1302702
AM0027;SDFF;Fazenda Fusão;-67,30638889;-9,57;AM;Lábrea;1302405
AM0028;SDGT;Agrotec;-60,54138889;-3,205555556;AM;Manacapuru;1302504
AM0029;SDKH;Canutama;-64,38388889;-6,529166667;AM;Canutama;1300904
AM0030;SDLR;Luiz Ribeiro Maia;-63,18583333;-5,636111111;AM;Tapauá;1304104
AM0031;SIEW;Areia Branca;-61,05027778;-7,987777778;AM;Novo Aripuanã;1303304
AM0032;SIYW;Fazenda Estrela;-65,73111111;-9,5375;AM;Lábrea;1302405
AM0033;SJCW;Jatapu;-58,51083333;-1,712222222;AM;Urucará;1304302
AM0034;SJJF;Pousada do Rio Roosevelt;-60,95555556;-8,495;AM;Novo Aripuanã;1303304
AM0035;SJVP;Vila Pitinga;-60,08388889;-0,799166667;AM;Presidente Figueiredo;1303536
AM0036;SNDG;Aldeia;-59,79194444;-6,473611111;AM;Borba;1300805
AM0037;SNFR;Presidente Roosevelt;-60,9725;-7,847222222;AM;Novo Aripuanã;1303304
AM0038;SNLB;Fazenda Magdalena;-65,70861111;-9,203055556;AM;Lábrea;1302405
AM0039;SNRH;João Fonseca;-70,01972222;-7,443333333;AM;Envira;1301506
AM0040;SSKF;Fazenda Santa Fé;-60,85027778;-3,056944444;AM;Iranduba;1301852
AM0041;SSTM;Fazenda Santo Antônio;-61,68388889;-7,793055556;AM;Manicoré;1302702
AM0042;SWAK;Assunção do Içana;-67,60055556;1,066388889;AM;São Gabriel da Cachoeira;1303809
AM0043;SWAO;Anamoim;-67,38388889;1,799722222;AM;São Gabriel da Cachoeira;1303809
AM0044;SWAZ;Santo Atanázio;-69,30055556;0,399722222;AM;São Gabriel da Cachoeira;1303809
AM0045;SWGF;Fazenda Fortaleza;-61,25;-7,907777778;AM;Novo Aripuanã;1303304
AM0046;SWJP;Vila Bittencourt;-69,42361111;-1,403888889;AM;Japurá;1302108
AM0047;SWJV;Palmeiras do Javari;-72,80055556;-5,117777778;AM;Atalaia do Norte;1300201
AM0048;SWKU;Cucuí;-66,84166667;1,120555556;AM;São Gabriel da Cachoeira;1303809
AM0049;SWMK;Maturacá;-66,13111111;0,616388889;AM;Santa Isabel do Rio Negro;1303601
AM0050;SWNA;Novo Aripuanã;-60,3644;-5,1175;AM;Novo Aripuanã;1303304
AM0051;SWPC;Pari-Cachoeira;-69,79555556;0,263055556;AM;São Gabriel da Cachoeira;1303809
AM0052;SWQE;Querari;-69,83388889;1,083888889;AM;São Gabriel da Cachoeira;1303809
AM0053;SWSQ;São Joaquim;-69,38388889;1,733055556;AM;São Gabriel da Cachoeira;1303809
AM0054;SWTR;Taraquá;-68,54555556;0,124722222;AM;São Gabriel da Cachoeira;1303809
AM0055;SWUK;Uapui-Cachoeira;-69,20055556;1,216388889;AM;São Gabriel da Cachoeira;1303809
AM0056;SDEH;Hospital Zona Norte;-60,03;-2,998055556;AM;Manaus;1302603
AM0057;SIAM;Francisca Mendes;-59,96416667;-3,0325;AM;Manaus;1302603
AM0058;SIFI;Amazonas Business Hotel;-60,02027778;-3,084166667;AM;Manaus;1302603
AM0059;SJGA;Hospital Universitário Getúlio Vargas;-60,0192;-3,1161;AM;Manaus;1302603
