ICAO;Sentido;Cenário;Ano;Carga (kg)
SBGR;Exportação;Tendencial;2025;235556240,6
SBGR;Exportação;Tendencial;2026;234463616,7
SBGR;Exportação;Tendencial;2027;236547097,8
SBGR;Exportação;Tendencial;2028;239232256,4
SBGR;Exportação;Tendencial;2029;242101569
SBGR;Exportação;Tendencial;2030;245090524,5
SBGR;Exportação;Tendencial;2031;248137383,4
SBGR;Exportação;Tendencial;2032;251249100,3
SBGR;Exportação;Tendencial;2033;254430587,9
SBGR;Exportação;Tendencial;2034;257656654,5
SBGR;Exportação;Tendencial;2035;260909163,1
SBGR;Exportação;Tendencial;2036;264215877,6
SBGR;Exportação;Tendencial;2037;267580213,1
SBGR;Exportação;Tendencial;2038;270990952,2
SBGR;Exportação;Tendencial;2039;274438907,7
SBGR;Exportação;Tendencial;2040;277947400,8
SBGR;Exportação;Tendencial;2041;281490154,9
SBGR;Exportação;Tendencial;2042;285067714,8
SBGR;Exportação;Tendencial;2043;288710233,5
SBGR;Exportação;Tendencial;2044;292399375,4
SBGR;Exportação;Tendencial;2045;296171148
SBGR;Exportação;Tendencial;2046;299970478
SBGR;Exportação;Tendencial;2047;303832549,5
SBGR;Exportação;Tendencial;2048;307750855,8
SBGR;Exportação;Tendencial;2049;311710330,7
SBGR;Exportação;Tendencial;2050;315716439,3
SBGR;Exportação;Tendencial;2051;319787695,1
SBGR;Exportação;Tendencial;2052;323930406,8
SBGR;Exportação;Tendencial;2053;328147512,2
SBGR;Exportação;Tendencial;2054;332441043,7
SBSV;Exportação;Tendencial;2025;6025312,917
SBSV;Exportação;Tendencial;2026;6435277,099
SBSV;Exportação;Tendencial;2027;6619283,907
SBSV;Exportação;Tendencial;2028;6714326,561
SBSV;Exportação;Tendencial;2029;6784420,179
SBSV;Exportação;Tendencial;2030;6831620,018
SBSV;Exportação;Tendencial;2031;6876860,142
SBSV;Exportação;Tendencial;2032;6928842,892
SBSV;Exportação;Tendencial;2033;6986815,561
SBSV;Exportação;Tendencial;2034;7046816,624
SBSV;Exportação;Tendencial;2035;7108004,933
SBSV;Exportação;Tendencial;2036;7168209,6
SBSV;Exportação;Tendencial;2037;7227102,237
SBSV;Exportação;Tendencial;2038;7286157,809
SBSV;Exportação;Tendencial;2039;7343300,12
SBSV;Exportação;Tendencial;2040;7402537,722
SBSV;Exportação;Tendencial;2041;7462453,683
SBSV;Exportação;Tendencial;2042;7522653,78
SBSV;Exportação;Tendencial;2043;7581545,801
SBSV;Exportação;Tendencial;2044;7640323,901
SBSV;Exportação;Tendencial;2045;7697935,571
SBSV;Exportação;Tendencial;2046;7753387,914
SBSV;Exportação;Tendencial;2047;7806644,274
SBSV;Exportação;Tendencial;2048;7859835,43
SBSV;Exportação;Tendencial;2049;7913172,011
SBSV;Exportação;Tendencial;2050;7964690,758
SBSV;Exportação;Tendencial;2051;8016039,355
SBSV;Exportação;Tendencial;2052;8067674,036
SBSV;Exportação;Tendencial;2053;8119723,666
SBSV;Exportação;Tendencial;2054;8172227,255
SBKP;Exportação;Tendencial;2025;105984822,7
SBKP;Exportação;Tendencial;2026;108872594
