Cenário Projeção;Natureza;ICAO;Atributo;Valor
Pessimista;domestico;N218;2025;1081,163705
Pessimista;domestico;N218;2026;1077,877925
Pessimista;domestico;N218;2027;1125,478223
Pessimista;domestico;N218;2028;1157,457994
Pessimista;domestico;N218;2029;1182,169474
Pessimista;domestico;N218;2030;1202,914758
Pessimista;domestico;N218;2031;1220,909792
Pessimista;domestico;N218;2032;1238,066625
Pessimista;domestico;N218;2033;1254,000323
Pessimista;domestico;N218;2034;1269,992297
Pessimista;domestico;N218;2035;1285,385123
Pessimista;domestico;N218;2036;1301,211518
Pessimista;domestico;N218;2037;1316,713498
Pessimista;domestico;N218;2038;1332,806973
Pessimista;domestico;N218;2039;1348,857368
Pessimista;domestico;N218;2040;1365,610828
Pessimista;domestico;N218;2041;1382,230368
Pessimista;domestico;N218;2042;1399,882062
Pessimista;domestico;N218;2043;1417,229247
Pessimista;domestico;N218;2044;1435,366265
Pessimista;domestico;N218;2045;1453,351034
Pessimista;domestico;N218;2046;1469,550746
Pessimista;domestico;N218;2047;1485,363914
Pessimista;domestico;N218;2048;1501,852846
Pessimista;domestico;N218;2049;1518,198482
Pessimista;domestico;N218;2050;1535,094769
Pessimista;domestico;N218;2051;1552,506792
Pessimista;domestico;N218;2052;1570,423388
Pessimista;domestico;N218;2053;1588,571347
Pessimista;domestico;N218;2054;1606,958609
Pessimista;domestico;N275;2025;258,1303851
Pessimista;domestico;N275;2026;252,5628228
Pessimista;domestico;N275;2027;253,0660612
Pessimista;domestico;N275;2028;255,0146484
Pessimista;domestico;N275;2029;257,1348109
Pessimista;domestico;N275;2030;259,3908248
Pessimista;domestico;N275;2031;261,4978101
Pessimista;domestico;N275;2032;263,4737338
Pessimista;domestico;N275;2033;265,4613813
Pessimista;domestico;N275;2034;267,3720601
Pessimista;domestico;N275;2035;269,2774882
Pessimista;domestico;N275;2036;271,3023826
Pessimista;domestico;N275;2037;273,3271672
Pessimista;domestico;N275;2038;275,4843888
Pessimista;domestico;N275;2039;277,6232452
Pessimista;domestico;N275;2040;279,9151032
Pessimista;domestico;N275;2041;282,092144
Pessimista;domestico;N275;2042;284,4116489
Pessimista;domestico;N275;2043;286,9289487
Pessimista;domestico;N275;2044;289,5647052
Pessimista;domestico;N275;2045;292,1207016
Pessimista;domestico;N275;2046;294,8637985
Pessimista;domestico;N275;2047;297,6134189
Pessimista;domestico;N275;2048;300,4301776
Pessimista;domestico;N275;2049;303,250505
Pessimista;domestico;N275;2050;306,0681477
Pessimista;domestico;N275;2051;309,1628124
Pessimista;domestico;N275;2052;312,2946553
