ICAO;cenario;Ano; Carga (kg) 
SBAE;Tendencial;2025;33784,65501
SBAE;Tendencial;2026;37388,9369
SBAE;Tendencial;2027;46474,96838
SBAE;Tendencial;2028;56687,44969
SBAE;Tendencial;2029;65495,02387
SBAE;Tendencial;2030;72251,95216
SBAE;Tendencial;2031;77240,86722
SBAE;Tendencial;2032;80968,62708
SBAE;Tendencial;2033;83878,59034
SBAE;Tendencial;2034;86288,93929
SBAE;Tendencial;2035;88408,87802
SBAE;Tendencial;2036;90371,36259
SBAE;Tendencial;2037;92258,97242
SBAE;Tendencial;2038;94123,03459
SBAE;Tendencial;2039;95995,14171
SBAE;Tendencial;2040;97894,77166
SBAE;Tendencial;2041;99833,28677
SBAE;Tendencial;2042;101817,1413
SBAE;Tendencial;2043;103849,1814
SBAE;Tendencial;2044;105930,0789
SBAE;Tendencial;2045;108058,8955
SBAE;Tendencial;2046;110233,8917
SBAE;Tendencial;2047;112452,699
SBAE;Tendencial;2048;114712,9216
SBAE;Tendencial;2049;117012,1515
SBAE;Tendencial;2050;119348,3435
SBAE;Tendencial;2051;121719,7897
SBAE;Tendencial;2052;124125,3886
SBAE;Tendencial;2053;126564,524
SBAE;Tendencial;2054;129037,259
SBAE;Pessimista;2025;33784,65501
SBAE;Pessimista;2026;37134,94124
SBAE;Pessimista;2027;45793,02552
SBAE;Pessimista;2028;55399,07402
SBAE;Pessimista;2029;63475,78544
SBAE;Pessimista;2030;69436,67808
SBAE;Pessimista;2031;73602,29213
SBAE;Pessimista;2032;76496,64173
SBAE;Pessimista;2033;78567,74676
SBAE;Pessimista;2034;80132,62183
SBAE;Pessimista;2035;81397,25801
SBAE;Pessimista;2036;82491,00233
SBAE;Pessimista;2037;83493,13663
SBAE;Pessimista;2038;84452,13493
SBAE;Pessimista;2039;85397,20623
SBAE;Pessimista;2040;86345,83233
SBAE;Pessimista;2041;87307,75947
SBAE;Pessimista;2042;88288,11131
SBAE;Pessimista;2043;89288,70058
SBAE;Pessimista;2044;90309,39537
SBAE;Pessimista;2045;91348,67939
SBAE;Pessimista;2046;92404,39389
SBAE;Pessimista;2047;93473,90917
SBAE;Pessimista;2048;94554,64713
SBAE;Pessimista;2049;95644,09386
SBAE;Pessimista;2050;96740,10608
SBAE;Pessimista;2051;97840,87772
SBAE;Pessimista;2052;98945,14515
SBAE;Pessimista;2053;100052,0697
SBAE;Pessimista;2054;101161,3757
SBAE;Transformador;2025;33784,65501
SBAE;Transformador;2026;37615,32435
SBAE;Transformador;2027;47086,19274
SBAE;Transformador;2028;57849,56034
SBAE;Transformador;2029;67328,8337
SBAE;Transformador;2030;74826,92328
SBAE;Transformador;2031;80593,13334
SBAE;Transformador;2032;85119,15091
SBAE;Transformador;2033;88844,33002
SBAE;Transformador;2034;92088,19052
SBAE;Transformador;2035;95063,24425
SBAE;Transformador;2036;97906,22834
SBAE;Transformador;2037;100703,3136
SBAE;Transformador;2038;103509,0906
SBAE;Transformador;2039;106358,0487
SBAE;Transformador;2040;109272,2601
SBAE;Transformador;2041;112265,3734
SBAE;Transformador;2042;115345,9021
SBAE;Transformador;2043;118518,5029
SBAE;Transformador;2044;121785,4671
SBAE;Transformador;2045;125147,2811
SBAE;Transformador;2046;128603,4963
SBAE;Transformador;2047;132152,8954
SBAE;Transformador;2048;135794,1715
SBAE;Transformador;2049;139525,9437
SBAE;Transformador;2050;143347,2006
SBAE;Transformador;2051;147257,2842
SBAE;Transformador;2052;151256,2278
SBAE;Transformador;2053;155344,6334
SBAE;Transformador;2054;159523,9299
SBAE;Observado;2006;43
SBAE;Observado;2007;85723
SBAE;Observado;2008;47817
