ICAO;Ano;Cenario;Sentido;Natureza;Passageiros
SBBE;2004;Observado;Total;Internacional;31946
SBBR;2004;Observado;Total;Internacional;17563
SBCF;2004;Observado;Total;Internacional;42356
SBCT;2004;Observado;Total;Internacional;53116
SBEG;2004;Observado;Total;Internacional;23324
SBFI;2004;Observado;Total;Internacional;14041
SBFL;2004;Observado;Total;Internacional;39473
SBFZ;2004;Observado;Total;Internacional;122157
SBGL;2004;Observado;Total;Internacional;1741399
SBGR;2004;Observado;Total;Internacional;6278132
SBKP;2004;Observado;Total;Internacional;577
SBMO;2004;Observado;Total;Internacional;1653
SBPA;2004;Observado;Total;Internacional;149417
SBPS;2004;Observado;Total;Internacional;27215
SBRF;2004;Observado;Total;Internacional;114273
SBSV;2004;Observado;Total;Internacional;230727
SBBE;2005;Observado;Total;Internacional;40987
SBBR;2005;Observado;Total;Internacional;36513
SBCF;2005;Observado;Total;Internacional;6505
SBCT;2005;Observado;Total;Internacional;54360
SBEG;2005;Observado;Total;Internacional;27877
SBFI;2005;Observado;Total;Internacional;19708
SBFL;2005;Observado;Total;Internacional;56655
SBFZ;2005;Observado;Total;Internacional;142465
SBGL;2005;Observado;Total;Internacional;1880303
SBGR;2005;Observado;Total;Internacional;7173863
SBKP;2005;Observado;Total;Internacional;7422
SBMO;2005;Observado;Total;Internacional;7893
SBPA;2005;Observado;Total;Internacional;185111
SBPS;2005;Observado;Total;Internacional;18760
SBRF;2005;Observado;Total;Internacional;132526
SBSV;2005;Observado;Total;Internacional;250260
SBBE;2006;Observado;Total;Internacional;49782
SBBR;2006;Observado;Total;Internacional;32693
SBCF;2006;Observado;Total;Internacional;7193
SBCT;2006;Observado;Total;Internacional;57247
SBEG;2006;Observado;Total;Internacional;61144
SBFI;2006;Observado;Total;Internacional;1029
SBFL;2006;Observado;Total;Internacional;115613
SBFZ;2006;Observado;Total;Internacional;183223
SBGL;2006;Observado;Total;Internacional;1955968
SBGR;2006;Observado;Total;Internacional;7074611
SBKP;2006;Observado;Total;Internacional;3931
SBMO;2006;Observado;Total;Internacional;10374
SBPA;2006;Observado;Total;Internacional;272510
SBPS;2006;Observado;Total;Internacional;22314
SBRF;2006;Observado;Total;Internacional;136800
SBSV;2006;Observado;Total;Internacional;287743
SBBE;2007;Observado;Total;Internacional;60719
SBBR;2007;Observado;Total;Internacional;72490
SBCF;2007;Observado;Total;Internacional;33512
SBCT;2007;Observado;Total;Internacional;62369
SBEG;2007;Observado;Total;Internacional;87016
SBFL;2007;Observado;Total;Internacional;126463
SBFZ;2007;Observado;Total;Internacional;173736
SBGL;2007;Observado;Total;Internacional;2381526
SBGR;2007;Observado;Total;Internacional;7737293
SBKP;2007;Observado;Total;Internacional;1143
SBPA;2007;Observado;Total;Internacional;335967
SBPS;2007;Observado;Total;Internacional;16599
SBRF;2007;Observado;Total;Internacional;138907
SBSV;2007;Observado;Total;Internacional;291512
SBBE;2008;Observado;Total;Internacional;51496
SBBR;2008;Observado;Total;Internacional;180977
SBCB;2008;Observado;Total;Internacional;4675
SBCF;2008;Observado;Total;Internacional;130334
SBCT;2008;Observado;Total;Internacional;87437
SBEG;2008;Observado;Total;Internacional;103919
SBFI;2008;Observado;Total;Internacional;75
SBFL;2008;Observado;Total;Internacional;103347
SBFZ;2008;Observado;Total;Internacional;206169
SBGL;2008;Observado;Total;Internacional;2531934
SBGR;2008;Observado;Total;Internacional;8652822
SBKP;2008;Observado;Total;Internacional;2986
SBMO;2008;Observado;Total;Internacional;6771
SBPA;2008;Observado;Total;Internacional;370848
SBPS;2008;Observado;Total;Internacional;5074
SBRF;2008;Observado;Total;Internacional;160575
SBSV;2008;Observado;Total;Internacional;315499
SBBE;2009;Observado;Total;Internacional;25368
SBBR;2009;Observado;Total;Internacional;170867
SBCB;2009;Observado;Total;Internacional;4843
SBCF;2009;Observado;Total;Internacional;183555
SBCT;2009;Observado;Total;Internacional;88841
SBEG;2009;Observado;Total;Internacional;142200
SBFI;2009;Observado;Total;Internacional;1323
SBFL;2009;Observado;Total;Internacional;71420
SBFZ;2009;Observado;Total;Internacional;198091
SBGL;2009;Observado;Total;Internacional;2544324
SBGR;2009;Observado;Total;Internacional;8208885
SBKP;2009;Observado;Total;Internacional;354
SBMO;2009;Observado;Total;Internacional;7275
SBPA;2009;Observado;Total;Internacional;325697
SBPS;2009;Observado;Total;Internacional;7456
SBRF;2009;Observado;Total;Internacional;167152
SBSV;2009;Observado;Total;Internacional;270989
SBBE;2010;Observado;Total;Internacional;40194
SBBR;2010;Observado;Total;Internacional;237633
SBCB;2010;Observado;Total;Internacional;7119
SBCF;2010;Observado;Total;Internacional;272347
SBCT;2010;Observado;Total;Internacional;101593
SBEG;2010;Observado;Total;Internacional;163494
SBFI;2010;Observado;Total;Internacional;11528
SBFL;2010;Observado;Total;Internacional;105227
SBFZ;2010;Observado;Total;Internacional;196830
SBGL;2010;Observado;Total;Internacional;2982515
SBGR;2010;Observado;Total;Internacional;10010707
SBKP;2010;Observado;Total;Internacional;40854
SBMO;2010;Observado;Total;Internacional;6146
SBPA;2010;Observado;Total;Internacional;436220
SBPS;2010;Observado;Total;Internacional;9215
SBRF;2010;Observado;Total;Internacional;211204
SBSV;2010;Observado;Total;Internacional;307850
SBBE;2011;Observado;Total;Internacional;43845
SBBR;2011;Observado;Total;Internacional;452461
SBCB;2011;Observado;Total;Internacional;4469
SBCF;2011;Observado;Total;Internacional;387964
SBCT;2011;Observado;Total;Internacional;100709
SBEG;2011;Observado;Total;Internacional;166404
SBFI;2011;Observado;Total;Internacional;57343
SBFL;2011;Observado;Total;Internacional;146158
SBFZ;2011;Observado;Total;Internacional;207981
SBGL;2011;Observado;Total;Internacional;3580668
SBGR;2011;Observado;Total;Internacional;11039731
SBKP;2011;Observado;Total;Internacional;96429
SBMO;2011;Observado;Total;Internacional;5669
SBPA;2011;Observado;Total;Internacional;541901
SBPS;2011;Observado;Total;Internacional;3638
SBRF;2011;Observado;Total;Internacional;260707
SBSV;2011;Observado;Total;Internacional;331231
SBBE;2012;Observado;Total;Internacional;47668
SBBR;2012;Observado;Total;Internacional;501075
SBCF;2012;Observado;Total;Internacional;423585
SBCT;2012;Observado;Total;Internacional;92315
SBEG;2012;Observado;Total;Internacional;201843
SBFI;2012;Observado;Total;Internacional;59889
SBFL;2012;Observado;Total;Internacional;145998
SBFZ;2012;Observado;Total;Internacional;199279
SBGL;2012;Observado;Total;Internacional;4140470
SBGR;2012;Observado;Total;Internacional;11460533
SBKP;2012;Observado;Total;Internacional;86531
SBMO;2012;Observado;Total;Internacional;4155
SBPA;2012;Observado;Total;Internacional;601028
SBPS;2012;Observado;Total;Internacional;2581
SBRF;2012;Observado;Total;Internacional;247544
SBSV;2012;Observado;Total;Internacional;302787
SBBE;2013;Observado;Total;Internacional;51012
SBBR;2013;Observado;Total;Internacional;552212
SBCF;2013;Observado;Total;Internacional;401675
SBCT;2013;Observado;Total;Internacional;61735
SBEG;2013;Observado;Total;Internacional;220118
SBFI;2013;Observado;Total;Internacional;55654
SBFL;2013;Observado;Total;Internacional;137562
SBFZ;2013;Observado;Total;Internacional;207557
SBGL;2013;Observado;Total;Internacional;4310705
SBGR;2013;Observado;Total;Internacional;12305380
SBKP;2013;Observado;Total;Internacional;56593
SBMO;2013;Observado;Total;Internacional;2369
SBPA;2013;Observado;Total;Internacional;467851
SBPS;2013;Observado;Total;Internacional;7309
SBRF;2013;Observado;Total;Internacional;290484
SBSV;2013;Observado;Total;Internacional;326066
SBBE;2014;Observado;Total;Internacional;98233
SBBR;2014;Observado;Total;Internacional;639930
SBCF;2014;Observado;Total;Internacional;416315
SBCT;2014;Observado;Total;Internacional;138358
SBEG;2014;Observado;Total;Internacional;246853
SBFI;2014;Observado;Total;Internacional;77949
