Cenário Projeção;natureza;ICAO;Sentido;Ano;Passageiros
Observado;domestico;SBAC;Total;2019;3805,0
Observado;domestico;SBAC;Total;2020;1431,0
Observado;domestico;SBAC;Total;2021;2859,0
Observado;domestico;SBAC;Total;2022;3432,0
Observado;domestico;SBAC;Total;2023;602,0
Observado;domestico;SBAC;Total;2024;488,0
Observado;domestico;SBAE;Total;2006;381,0
Observado;domestico;SBAE;Total;2007;91785,0
Observado;domestico;SBAE;Total;2008;65338,0
Observado;domestico;SBAE;Total;2009;41431,0
Observado;domestico;SBAE;Total;2010;103345,0
Observado;domestico;SBAE;Total;2011;98264,0
Observado;domestico;SBAE;Total;2012;136980,0
Observado;domestico;SBAE;Total;2013;135983,0
Observado;domestico;SBAE;Total;2014;158750,0
Observado;domestico;SBAE;Total;2015;143097,0
Observado;domestico;SBAE;Total;2016;136882,0
Observado;domestico;SBAE;Total;2017;164259,0
Observado;domestico;SBAE;Total;2018;136573,0
Observado;domestico;SBAE;Total;2019;130485,0
Observado;domestico;SBAE;Total;2020;61610,0
Observado;domestico;SBAE;Total;2021;69961,0
Observado;domestico;SBAE;Total;2022;80578,0
Observado;domestico;SBAE;Total;2023;52882,0
Observado;domestico;SBAE;Total;2024;87768,0
Observado;domestico;SBAQ;Total;2004;9282,0
Observado;domestico;SBAQ;Total;2005;7306,0
Observado;domestico;SBAQ;Total;2006;49183,0
Observado;domestico;SBAQ;Total;2007;2198,0
Observado;domestico;SBAQ;Total;2011;182,0
Observado;domestico;SBAQ;Total;2013;1970,0
Observado;domestico;SBAQ;Total;2014;28629,0
Observado;domestico;SBAQ;Total;2016;42,0
Observado;domestico;SBAQ;Total;2019;969,0
Observado;domestico;SBAQ;Total;2020;4656,0
Observado;domestico;SBAQ;Total;2024;1774,0
Observado;domestico;SBAR;Total;2004;271387,0
Observado;domestico;SBAR;Total;2005;447212,0
Observado;domestico;SBAR;Total;2006;568723,0
Observado;domestico;SBAR;Total;2007;650735,0
Observado;domestico;SBAR;Total;2008;633073,0
Observado;domestico;SBAR;Total;2009;713350,0
Observado;domestico;SBAR;Total;2010;911131,0
Observado;domestico;SBAR;Total;2011;1057570,0
Observado;domestico;SBAR;Total;2012;1296868,0
Observado;domestico;SBAR;Total;2013;1283832,0
Observado;domestico;SBAR;Total;2014;1321455,0
Observado;domestico;SBAR;Total;2015;1243066,0
Observado;domestico;SBAR;Total;2016;1209436,0
Observado;domestico;SBAR;Total;2017;1211185,0
Observado;domestico;SBAR;Total;2018;1191837,0
Observado;domestico;SBAR;Total;2019;1126711,0
Observado;domestico;SBAR;Total;2020;599345,0
Observado;domestico;SBAR;Total;2021;762737,0
Observado;domestico;SBAR;Total;2022;947500,0
Observado;domestico;SBAR;Total;2023;1164920,0
Observado;domestico;SBAR;Total;2024;1272078,0
Observado;domestico;SBAT;Total;2004;8148,0
Observado;domestico;SBAT;Total;2005;10684,0
Observado;domestico;SBAT;Total;2006;10259,0
Observado;domestico;SBAT;Total;2007;20172,0
Observado;domestico;SBAT;Total;2008;48928,0
Observado;domestico;SBAT;Total;2009;29861,0
Observado;domestico;SBAT;Total;2010;34182,0
Observado;domestico;SBAT;Total;2011;65930,0
Observado;domestico;SBAT;Total;2012;72629,0
Observado;domestico;SBAT;Total;2013;63578,0
Observado;domestico;SBAT;Total;2014;53838,0
Observado;domestico;SBAT;Total;2015;74116,0
Observado;domestico;SBAT;Total;2016;69746,0
Observado;domestico;SBAT;Total;2017;64973,0
Observado;domestico;SBAT;Total;2018;62257,0
Observado;domestico;SBAT;Total;2019;61757,0
Observado;domestico;SBAT;Total;2020;34267,0
Observado;domestico;SBAT;Total;2021;50753,0
Observado;domestico;SBAT;Total;2022;54776,0
Observado;domestico;SBAT;Total;2023;51688,0
Observado;domestico;SBAT;Total;2024;43311,0
Observado;domestico;SBAU;Total;2004;28607,0
Observado;domestico;SBAU;Total;2005;30220,0
Observado;domestico;SBAU;Total;2006;24700,0
Observado;domestico;SBAU;Total;2007;73970,0
Observado;domestico;SBAU;Total;2008;66597,0
Observado;domestico;SBAU;Total;2009;48265,0
Observado;domestico;SBAU;Total;2010;71923,0
Observado;domestico;SBAU;Total;2011;120765,0
Observado;domestico;SBAU;Total;2012;151381,0
Observado;domestico;SBAU;Total;2013;163838,0
Observado;domestico;SBAU;Total;2014;118832,0
Observado;domestico;SBAU;Total;2015;98508,0
Observado;domestico;SBAU;Total;2016;101481,0
Observado;domestico;SBAU;Total;2017;85285,0
Observado;domestico;SBAU;Total;2018;90937,0
Observado;domestico;SBAU;Total;2019;110632,0
Observado;domestico;SBAU;Total;2020;74586,0
Observado;domestico;SBAU;Total;2021;83359,0
Observado;domestico;SBAU;Total;2022;100223,0
Observado;domestico;SBAU;Total;2023;93222,0
Observado;domestico;SBAU;Total;2024;97373,0
Observado;domestico;SBAX;Total;2004;19223,0
Observado;domestico;SBAX;Total;2005;21892,0
Observado;domestico;SBAX;Total;2006;26380,0
Observado;domestico;SBAX;Total;2007;26097,0
Observado;domestico;SBAX;Total;2008;31288,0
Observado;domestico;SBAX;Total;2009;23262,0
Observado;domestico;SBAX;Total;2010;11829,0
Observado;domestico;SBAX;Total;2011;30618,0
Observado;domestico;SBAX;Total;2012;37967,0
Observado;domestico;SBAX;Total;2013;39747,0
Observado;domestico;SBAX;Total;2014;13938,0
Observado;domestico;SBAX;Total;2015;16619,0
Observado;domestico;SBAX;Total;2016;3666,0
Observado;domestico;SBAX;Total;2017;3006,0
Observado;domestico;SBAX;Total;2018;1972,0
Observado;domestico;SBAX;Total;2019;2015,0
Observado;domestico;SBAX;Total;2020;597,0
Observado;domestico;SBAX;Total;2023;2356,0
Observado;domestico;SBAX;Total;2024;18742,0
Observado;domestico;SBBE;Total;2004;1261588,0
Observado;domestico;SBBE;Total;2005;1417668,0
Observado;domestico;SBBE;Total;2006;1668411,0
Observado;domestico;SBBE;Total;2007;1985768,0
Observado;domestico;SBBE;Total;2008;1991083,0
Observado;domestico;SBBE;Total;2009;2104542,0
Observado;domestico;SBBE;Total;2010;2609159,0
Observado;domestico;SBBE;Total;2011;2868301,0
Observado;domestico;SBBE;Total;2012;3243601,0
Observado;domestico;SBBE;Total;2013;3350999,0
Observado;domestico;SBBE;Total;2014;3685962,0
Observado;domestico;SBBE;Total;2015;3542404,0
Observado;domestico;SBBE;Total;2016;3052288,0
Observado;domestico;SBBE;Total;2017;3097873,0
Observado;domestico;SBBE;Total;2018;3321199,0
Observado;domestico;SBBE;Total;2019;3429540,0
Observado;domestico;SBBE;Total;2020;1974422,0
Observado;domestico;SBBE;Total;2021;2628865,0
Observado;domestico;SBBE;Total;2022;3163870,0
Observado;domestico;SBBE;Total;2023;3391453,0
Observado;domestico;SBBE;Total;2024;3859047,0
Observado;domestico;SBBG;Total;2006;0,0
Observado;domestico;SBBG;Total;2008;0,0
Observado;domestico;SBBG;Total;2010;33,0
Observado;domestico;SBBG;Total;2011;8,0
Observado;domestico;SBBG;Total;2019;635,0
Observado;domestico;SBBG;Total;2020;575,0
Observado;domestico;SBBG;Total;2021;971,0
Observado;domestico;SBBG;Total;2022;1767,0
Observado;domestico;SBBG;Total;2023;722,0
Observado;domestico;SBBG;Total;2024;206,0
Observado;domestico;SBBR;Total;2004;6469488,0
Observado;domestico;SBBR;Total;2005;7528922,0
Observado;domestico;SBBR;Total;2006;8241122,0
Observado;domestico;SBBR;Total;2007;9494268,0
Observado;domestico;SBBR;Total;2008;10834052,0
Observado;domestico;SBBR;Total;2009;12279696,0
Observado;domestico;SBBR;Total;2010;14400411,0
Observado;domestico;SBBR;Total;2011;15537281,0
Observado;domestico;SBBR;Total;2012;16552493,0
